step,time,mid_price,reservation_price_as,half_spread_as,reservation_price_sc,half_spread_sc,drawdown,u_skew,u_spr,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
76,0.76,99.44488371813523,99.39923805210745,1.8031017980432495,99.39923805210745,1.8127033264095784,0.4800764183164432,-0.0,0.009601528366328865,97.58653472569787,101.21194137851703,0,1.5021641935056067,1.5021641935056067,1.3056985896337663,1.3056985896337663,0.012972113251212947,0.012972113251212947,False,False
77,0.77,99.27423504802347,99.44488371813523,1.8011017980432493,99.44488371813523,1.8107033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.63418039172565,101.25558704454481,0,1.5021641935056067,1.5021641935056067,1.308312599952009,1.308312599952009,0.012997913924798876,0.012997913924798876,False,False
78,0.78,99.15609364523077,99.27423504802347,1.7991017980432495,99.27423504802347,1.8087033264095784,0.4800764183164432,-0.0,0.009601528366328865,97.46553172161389,101.08293837443306,0,1.5021641935056067,1.5021641935056067,1.3109318435223964,1.3109318435223964,0.01302376557491769,0.01302376557491769,False,False
79,0.79,99.01027687768205,99.15609364523077,1.7971017980432493,99.15609364523077,1.8067033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.3493903188212,100.96279697164034,0,1.5021641935056067,1.5021641935056067,1.3135563308219242,1.3135563308219242,0.013049668300931128,0.013049668300931128,False,False
80,0.8,98.97774369357306,99.01027687768205,1.7951017980432495,99.01027687768205,1.8047033264095784,0.4800764183164432,-0.0,0.009601528366328865,97.20557355127247,100.81498020409163,0,1.5021641935056067,1.5021641935056067,1.316186072348508,1.316186072348508,0.013075622202388781,0.013075622202388781,False,False
81,0.81,99.41995208569149,98.97774369357306,1.7931017980432493,98.97774369357306,1.8027033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.17504036716348,100.78044701998265,0,1.5021641935056067,1.5021641935056067,1.318821078621136,1.318821078621136,0.013101627379029424,0.013101627379029424,False,False
82,0.8200000000000001,99.64472423185002,99.41995208569149,1.7911017980432493,99.41995208569149,1.8007033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.61924875928192,101.22065541210107,0,1.5021641935056067,1.5021641935056067,1.321461360179856,1.321461360179856,0.013127683930780343,0.013127683930780343,False,False
83,0.8300000000000001,99.35131518277183,99.64472423185002,1.7891017980432493,99.64472423185002,1.7987033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.84602090544044,101.4434275582596,0,1.5021641935056067,1.5021641935056067,1.3241069275857598,1.3241069275857598,0.013153791957757899,0.013153791957757899,False,False
84,0.84,99.1319580670809,99.35131518277183,1.7871017980432495,99.35131518277183,1.7967033264095784,0.4800764183164432,-0.0,0.009601528366328865,97.55461185636224,101.14801850918141,0,1.5021641935056067,1.5021641935056067,1.3267577914211393,1.3267577914211393,0.01317995156026841,0.01317995156026841,False,False
85,0.85,98.89764474131583,99.1319580670809,1.7851017980432493,99.1319580670809,1.7947033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.33725474067133,100.92666139349048,0,1.5021641935056067,1.5021641935056067,1.3294139622894723,1.3294139622894723,0.013206162838808266,0.013206162838808266,False,False
86,0.86,99.24338427019694,98.89764474131583,1.7831017980432495,98.89764474131583,1.7927033264095784,0.4800764183164432,-0.0,0.009601528366328865,97.10494141490625,100.69034806772541,0,1.5021641935056067,1.5021641935056067,1.3320754508154082,1.3320754508154082,0.01323242589406326,0.01323242589406326,False,False
